id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
district-dhaka,Dhaka,Rural,271223,166163,16760,88300,1123349,989716,22670,110963,69,144,120
district-dhaka,Dhaka,Urban,767855,547352,76905,143598,3698453,3389349,121169,187935,70,144,120
district-faridpur,Faridpur,Total,182676,85271,8276,89129,357850,242264,9806,105780,71,144,120
district-faridpur,Faridpur,Rural,126831,51082,3533,72216,216543,127453,4119,84971,72,144,120
district-faridpur,Faridpur,Urban,55845,34189,4743,16913,141307,114811,5687,20809,73,144,120
district-gazipur,Gazipur,Total,394241,244267,25133,124841,2530106,2352959,33330,143817,74,144,120
district-gazipur,Gazipur,Rural,130954,70484,6531,53939,668892,598063,8034,62795,75,144,120
district-gazipur,Gazipur,Urban,263287,173783,18602,70902,1861214,1754896,25296,81022,76,144,120
district-gopalganj,Gopalganj,Total,109094,48758,3638,56698,198650,125595,4428,68627,77,144,120
district-gopalganj,Gopalganj,Rural,81876,31973,1969,47934,130603,71050,2334,57219,78,144,120
district-gopalganj,Gopalganj,Urban,27218,16785,1669,8764,68047,54545,2094,11408,79,144,120
district-kishoreganj,Kishoreganj,Total,205837,105186,8490,92161,423680,293000,10556,120124,80,144,120
district-kishoreganj,Kishoreganj,Rural,134118,60512,3972,69634,240604,145094,4830,90680,81,144,120
district-kishoreganj,Kishoreganj,Urban,71719,44674,4518,22527,183076,147906,5726,29444,82,144,120
district-madaripur,Madaripur,Total,97924,48622,3176,46126,186500,124080,4110,58310,83,144,120
district-madaripur,Madaripur,Rural,67323,30102,1639,35582,116747,69644,1968,45135,84,144,120
district-madaripur,Madaripur,Urban,30601,18520,1537,10544,69753,54436,2142,13175,85,144,120
district-manikganj,Manikganj,Total,118343,58564,6043,53736,272166,195232,7492,69442,86,144,120
district-manikganj,Manikganj,Rural,91220,40745,3664,46811,201950,137272,4524,60154,87,144,120
district-manikganj,Manikganj,Urban,27123,17819,2379,6925,70216,57960,2968,9288,88,144,120
district-munshiganj,Munshiganj,Total,101944,57077,4806,40061,245727,189760,6181,49786,89,144,120
district-munshiganj,Munshiganj,Rural,78927,42721,3211,32995,184002,138747,4229,41026,90,144,120
district-munshiganj,Munshiganj,Urban,23017,14356,1595,7066,61725,51013,1952,8760,91,144,120
district-narayanganj,Narayanganj,Total,276476,172624,20190,83662,1282230,1148578,28203,105449,92,144,120
district-narayanganj,Narayanganj,Rural,154663,92391,8804,53468,717747,638566,12195,66986,93,144,120
district-narayanganj,Narayanganj,Urban,121813,80233,11386,30194,564483,510012,16008,38463,94,144,120
district-narsingdi,Narsingdi,Total,180328,99534,9935,70859,529871,428895,12598,88378,95,145,121
district-narsingdi,Narsingdi,Rural,125389,62940,5704,56745,343691,266240,7350,70101,96,145,121
district-narsingdi,Narsingdi,Urban,54939,36594,4231,14114,186180,162655,5248,18277,97,145,121
